area_code,year,quarter,median_rent_per_month,median rent per month adjusted to 2018
E02000027,2016,4,1300,1315.160023
E02000028,2016,1,1289,1304.031746
E02000028,2016,2,1257,1271.658576
E02000028,2016,3,1275,1289.868484
E02000028,2016,4,1248,1262.553622
E02000029,2016,1,1287.5,1302.514253
E02000029,2016,2,1350,1365.743101
E02000029,2016,3,1275,1289.868484
E02000029,2016,4,1265,1279.751868
E02000030,2016,1,1650,1669.241567
E02000030,2016,2,1822.5,1843.753186
E02000030,2016,3,2083.5,2107.796852
E02000030,2016,4,1700,1719.824645
E02000031,2016,1,1495,1512.434026
E02000031,2016,2,1599,1617.646828
E02000031,2016,3,1750,1770.407723
E02000031,2016,4,1499.5,1516.986503
E02000032,2016,2,1750,1770.407723
E02000032,2016,3,1053,1065.279618
E02000032,2016,4,1699.5,1719.318814
E02000033,2016,1,1550,1568.075412
E02000033,2016,2,1445,1461.850948
E02000033,2016,3,1374,1390.022978
E02000033,2016,4,1242.5,1256.989483
E02000034,2016,1,1358.5,1374.342224
E02000034,2016,2,1300,1315.160023
E02000034,2016,3,1336,1351.579839
E02000034,2016,4,1385,1401.151255
E02000035,2016,1,1495,1512.434026
E02000035,2016,2,1484,1501.305749
E02000035,2016,3,1400,1416.326178
E02000035,2016,4,1400,1416.326178
E02000036,2016,1,1325,1340.451562
E02000036,2016,2,1375,1391.034639
E02000036,2016,3,1322,1337.416577
E02000036,2016,4,1375,1391.034639
E02000037,2016,1,1426,1442.629379
E02000037,2016,2,1500,1517.492334
E02000037,2016,3,1701.5,1721.342137
E02000037,2016,4,1348,1363.719777
E02000038,2016,1,1475,1492.200795
E02000038,2016,2,1400,1416.326178
E02000038,2016,3,1425,1441.617717
E02000038,2016,4,1375,1391.034639
E02000039,2016,1,1500,1517.492334
E02000039,2016,2,1673,1692.509783
E02000039,2016,3,1475.5,1492.706626
E02000039,2016,4,1425,1441.617717
E02000040,2016,1,1662.5,1681.887337
E02000040,2016,2,1550,1568.075412
E02000040,2016,3,1426,1442.629379
E02000040,2016,4,1497.5,1514.96318
E02000041,2016,1,1352,1367.766424
E02000041,2016,2,1430,1446.676025
E02000041,2016,3,1440,1456.792641
E02000041,2016,4,1337.5,1353.097331
E02000042,2016,1,1499,1516.480672
E02000042,2016,2,1400,1416.326178
E02000042,2016,3,1400,1416.326178
E02000042,2016,4,1350,1365.743101
E02000043,2016,1,2249,2275.226839
E02000043,2016,2,1872,1893.830433
E02000043,2016,3,2171,2196.317238
E02000043,2016,4,2102,2126.512591
E02000044,2016,1,1425,1441.617717
E02000044,2016,2,1500,1517.492334
E02000044,2016,3,1500,1517.492334
E02000044,2016,4,1798,1818.967478
E02000045,2016,1,1300,1315.160023
E02000045,2016,2,1300,1315.160023
E02000045,2016,3,1500,1517.492334
E02000045,2016,4,1250,1264.576945
E02000046,2016,1,1404,1420.372825
E02000046,2016,2,1235,1249.402022
E02000046,2016,3,1350,1365.743101
E02000046,2016,4,1452,1468.932579
E02000047,2016,1,1250,1264.576945
E02000047,2016,2,1400,1416.326178
E02000047,2016,3,1260,1274.693561
E02000047,2016,4,1300,1315.160023
E02000048,2016,1,1582,1600.448582
E02000048,2016,2,1508.5,1526.091457
E02000048,2016,3,1380.5,1396.598778
E02000048,2016,4,1400,1416.326178
E02000049,2016,3,1361.5,1377.377208
E02000050,2016,1,1387,1403.174578
E02000050,2016,2,1408,1424.419471
E02000050,2016,3,1450,1466.909256
E02000050,2016,4,1400,1416.326178
E02000051,2016,1,1600,1618.65849
E02000051,2016,2,1650,1669.241567
E02000051,2016,3,1400,1416.326178
E02000051,2016,4,1400,1416.326178
E02000052,2016,1,1473,1490.177472
E02000052,2016,2,1716.5,1736.517061
E02000052,2016,3,1350,1365.743101
E02000052,2016,4,1541,1558.970458
E02000053,2016,1,1200,1213.993867
E02000053,2016,2,1320,1335.393254
E02000053,2016,3,1100,1112.827712
E02000053,2016,4,1300,1315.160023
E02000054,2016,1,1387,1403.174578
E02000054,2016,2,1430,1446.676025
E02000054,2016,3,1365,1380.918024
E02000054,2016,4,1300,1315.160023
E02000055,2016,1,1462.5,1479.555026
E02000055,2016,2,1500,1517.492334
E02000055,2016,3,1517,1534.69058
E02000055,2016,4,1500,1517.492334
E02000056,2016,1,1840,1861.457263
E02000056,2016,2,1993,2016.241481
E02000056,2016,3,1733,1753.209476
E02000056,2016,4,2253,2279.273486
E02000057,2016,1,1452,1468.932579
E02000057,2016,2,1798,1818.967478
E02000057,2016,3,1874,1895.853756
E02000057,2016,4,1473,1490.177472
E02000058,2016,1,1842,1863.480586
E02000058,2016,2,1993,2016.241481
E02000058,2016,3,1842,1863.480586
E02000058,2016,4,1517,1534.69058
E02000059,2016,1,1250,1264.576945
E02000059,2016,2,1267.5,1282.281022
E02000059,2016,3,1350,1365.743101
E02000059,2016,4,1103,1115.862696
E02000060,2016,1,1368.5,1384.458839
E02000060,2016,2,1430,1446.676025
E02000060,2016,3,1429,1445.664363
E02000060,2016,4,1733,1753.209476
E02000061,2016,1,1842,1863.480586
E02000061,2016,2,1842,1863.480586
E02000061,2016,3,1625,1643.950028
E02000061,2016,4,1625,1643.950028
E02000062,2016,1,1389,1405.197901
E02000062,2016,2,1600,1618.65849
E02000062,2016,3,1452,1468.932579
E02000062,2016,4,1300,1315.160023
E02000063,2016,1,1181,1194.772298
E02000063,2016,2,1300,1315.160023
E02000063,2016,3,1508.5,1526.091457
E02000063,2016,4,1300,1315.160023
E02000064,2016,1,1560,1578.192027
E02000064,2016,2,1842,1863.480586
E02000064,2016,3,1648.5,1667.724075
E02000064,2016,4,1371.5,1387.493824
E02000065,2016,1,1025,1036.953095
E02000065,2016,2,1150,1163.410789
E02000065,2016,3,950,961.0784782
E02000065,2016,4,1200,1213.993867
E02000066,2016,1,950,961.0784782
E02000066,2016,2,1025,1036.953095
E02000066,2016,3,1100,1112.827712
E02000067,2016,1,950,961.0784782
E02000067,2016,2,912.5,923.1411698
E02000067,2016,3,950,961.0784782
E02000067,2016,4,995,1006.603248
E02000068,2016,1,1000,1011.661556
E02000068,2016,2,950,961.0784782
E02000068,2016,3,975,986.3700171
E02000068,2016,4,1000,1011.661556
E02000069,2016,1,900,910.4954004
E02000069,2016,2,950,961.0784782
E02000069,2016,3,887.5,897.8496309
E02000070,2016,1,1150,1163.410789
E02000072,2016,1,950,961.0784782
E02000072,2016,2,872.5,882.6747076
E02000072,2016,3,975,986.3700171
E02000072,2016,4,875,885.2038615
E02000073,2016,1,1325,1340.451562
E02000077,2016,4,1300,1315.160023
E02000078,2016,1,1100,1112.827712
E02000078,2016,2,1250,1264.576945
E02000078,2016,3,1095,1107.769404
E02000079,2016,1,1125,1138.11925
E02000079,2016,2,1150,1163.410789
E02000079,2016,3,1150,1163.410789
E02000079,2016,4,1125,1138.11925
E02000080,2016,1,1150,1163.410789
E02000080,2016,2,1200,1213.993867
E02000084,2016,2,1250,1264.576945
E02000084,2016,4,1075,1087.536173
E02000085,2016,4,975,986.3700171
E02000086,2016,3,1050,1062.244634
E02000087,2016,2,1095,1107.769404
E02000087,2016,3,1100,1112.827712
E02000088,2016,2,1172.5,1186.173174
E02000088,2016,4,1250,1264.576945
E02000089,2016,3,1250,1264.576945
E02000090,2016,1,1100,1112.827712
E02000090,2016,2,1000,1011.661556
E02000090,2016,3,1172.5,1186.173174
E02000090,2016,4,1175,1188.702328
E02000091,2016,1,1250,1264.576945
E02000091,2016,2,1250,1264.576945
E02000091,2016,3,1147.5,1160.881635
E02000091,2016,4,1250,1264.576945
E02000093,2016,1,1800,1820.990801
E02000093,2016,2,1798,1818.967478
E02000093,2016,3,1575,1593.366951
E02000093,2016,4,1650,1669.241567
E02000094,2016,1,1400,1416.326178
E02000094,2016,2,1175,1188.702328
E02000094,2016,3,1575,1593.366951
E02000094,2016,4,1275,1289.868484
E02000095,2016,1,1375,1391.034639
E02000095,2016,2,1395,1411.267871
E02000095,2016,3,1550,1568.075412
E02000095,2016,4,1850,1871.573879
E02000096,2016,1,1300,1315.160023
E02000096,2016,2,1325,1340.451562
E02000096,2016,3,1350,1365.743101
E02000096,2016,4,950,961.0784782
E02000097,2016,1,1400,1416.326178
E02000097,2016,2,1271,1285.821838
E02000097,2016,3,1700,1719.824645
E02000097,2016,4,1400,1416.326178
E02000098,2016,1,1547.5,1565.546258
E02000098,2016,2,1497,1514.457349
E02000098,2016,3,1475,1492.200795
E02000098,2016,4,1425,1441.617717
E02000099,2016,1,1200,1213.993867
E02000099,2016,2,1372.5,1388.505486
E02000099,2016,3,1375,1391.034639
E02000099,2016,4,1337.5,1353.097331
E02000100,2016,1,1600,1618.65849
E02000100,2016,2,1352,1367.766424
E02000100,2016,3,1199.5,1213.488036
E02000100,2016,4,1700,1719.824645
E02000101,2016,1,1375,1391.034639
E02000101,2016,2,1450,1466.909256
E02000101,2016,3,1450,1466.909256
E02000101,2016,4,1397.5,1413.797024
E02000102,2016,1,1425.5,1442.123548
E02000102,2016,2,1337.5,1353.097331
E02000102,2016,3,1250,1264.576945
E02000102,2016,4,1190,1203.877252
E02000103,2016,1,1365,1380.918024
E02000103,2016,2,1460,1477.025872
E02000103,2016,3,1798,1818.967478
E02000103,2016,4,1368.5,1384.458839
E02000104,2016,1,1200,1213.993867
E02000104,2016,2,1485,1502.317411
E02000104,2016,3,1473,1490.177472
E02000104,2016,4,1450,1466.909256
E02000105,2016,1,1375,1391.034639
E02000105,2016,2,1125,1138.11925
E02000105,2016,3,1300,1315.160023
E02000105,2016,4,1449.5,1466.403425
E02000106,2016,1,1312.5,1327.805792
E02000106,2016,2,1435,1451.734333
E02000106,2016,3,1472.5,1489.671641
E02000106,2016,4,1400,1416.326178
E02000107,2016,1,1170,1183.64402
E02000107,2016,2,1278,1292.903469
E02000107,2016,3,1499,1516.480672
E02000107,2016,4,1300,1315.160023
E02000108,2016,1,1497.5,1514.96318
E02000108,2016,2,1587.5,1606.01272
E02000108,2016,3,1350,1365.743101
E02000108,2016,4,1412.5,1428.971948
E02000109,2016,1,1400,1416.326178
E02000109,2016,2,1350,1365.743101
E02000109,2016,3,1382.5,1398.622101
E02000109,2016,4,1450,1466.909256
E02000110,2016,1,1625,1643.950028
E02000110,2016,2,1300,1315.160023
E02000110,2016,3,1701,1720.836307
E02000110,2016,4,1620.5,1639.397551
E02000111,2016,1,1091.5,1104.228588
E02000111,2016,2,1300,1315.160023
E02000111,2016,3,1100,1112.827712
E02000111,2016,4,1450,1466.909256
E02000112,2016,1,1352,1367.766424
E02000112,2016,2,1421,1437.571071
E02000112,2016,3,1250,1264.576945
E02000112,2016,4,1500,1517.492334
E02000113,2016,1,1190,1203.877252
E02000113,2016,2,1245,1259.518637
E02000113,2016,3,1400,1416.326178
E02000113,2016,4,1300,1315.160023
E02000114,2016,1,1300,1315.160023
E02000114,2016,2,1430,1446.676025
E02000114,2016,3,1408,1424.419471
E02000114,2016,4,1495,1512.434026
E02000115,2016,1,1517,1534.69058
E02000115,2016,2,1560,1578.192027
E02000115,2016,3,1701,1720.836307
E02000115,2016,4,1603,1621.693474
E02000116,2016,1,1100.5,1113.333542
E02000116,2016,2,1560,1578.192027
E02000116,2016,3,1450,1466.909256
E02000116,2016,4,1430,1446.676025
E02000117,2016,1,1200,1213.993867
E02000117,2016,2,1460,1477.025872
E02000117,2016,3,1300,1315.160023
E02000117,2016,4,1325,1340.451562
E02000118,2016,1,1525,1542.783873
E02000118,2016,2,1500,1517.492334
E02000118,2016,3,1461.5,1478.543364
E02000118,2016,4,1257,1271.658576
E02000119,2016,1,1550,1568.075412
E02000119,2016,2,1332.5,1348.039023
E02000119,2016,3,1278.5,1293.409299
E02000119,2016,4,1499,1516.480672
E02000120,2016,1,1408,1424.419471
E02000120,2016,2,1495,1512.434026
E02000120,2016,3,1538.5,1556.441304
E02000120,2016,4,1560,1578.192027
E02000121,2016,1,1325,1340.451562
E02000121,2016,2,1450,1466.909256
E02000121,2016,3,1450,1466.909256
E02000121,2016,4,1300,1315.160023
E02000122,2016,1,1842,1863.480586
E02000122,2016,2,1950,1972.740034
E02000122,2016,3,2058,2081.999482
E02000122,2016,4,1711.5,1731.458753
E02000123,2016,1,1350,1365.743101
E02000123,2016,2,1599.5,1618.152659
E02000123,2016,3,1475.5,1492.706626
E02000123,2016,4,1637.5,1656.595798
E02000124,2016,1,1650,1669.241567
E02000124,2016,2,1917.5,1939.861034
E02000124,2016,3,1650,1669.241567
E02000124,2016,4,1928,1950.48348
E02000125,2016,1,1733,1753.209476
E02000125,2016,2,1733,1753.209476
E02000125,2016,3,1711.5,1731.458753
E02000125,2016,4,1755,1775.466031
E02000126,2016,1,1560,1578.192027
E02000126,2016,2,1668,1687.451475
E02000126,2016,3,1495,1512.434026
E02000126,2016,4,1657.5,1676.829029
E02000127,2016,1,1250,1264.576945
E02000127,2016,2,1300,1315.160023
E02000127,2016,3,1297.5,1312.630869
E02000127,2016,4,1225,1239.285406
E02000128,2016,1,1400,1416.326178
E02000128,2016,2,1374.5,1390.528809
E02000128,2016,3,1225,1239.285406
E02000130,2016,1,1100,1112.827712
E02000130,2016,2,1175,1188.702328
E02000130,2016,3,1337.5,1353.097331
E02000130,2016,4,1425,1441.617717
E02000131,2016,1,1100,1112.827712
E02000131,2016,2,1200,1213.993867
E02000131,2016,3,1200,1213.993867
E02000131,2016,4,1175,1188.702328
E02000132,2016,1,1137.5,1150.76502
E02000132,2016,2,1000,1011.661556
E02000132,2016,3,1100,1112.827712
E02000132,2016,4,1100,1112.827712
E02000133,2016,1,1200,1213.993867
E02000133,2016,2,1447.5,1464.380102
E02000133,2016,3,1597.5,1616.129336
E02000133,2016,4,1300,1315.160023
E02000134,2016,1,1195,1208.935559
E02000134,2016,2,1200,1213.993867
E02000134,2016,3,1225,1239.285406
E02000134,2016,4,1150,1163.410789
E02000135,2016,1,1050,1062.244634
E02000135,2016,2,1196,1209.947221
E02000135,2016,3,1000,1011.661556
E02000135,2016,4,1095,1107.769404
E02000137,2016,1,1175,1188.702328
E02000137,2016,2,1095,1107.769404
E02000137,2016,3,1250,1264.576945
E02000137,2016,4,1175,1188.702328
E02000138,2016,1,1175,1188.702328
E02000138,2016,2,1100,1112.827712
E02000138,2016,3,1250,1264.576945
E02000138,2016,4,1150,1163.410789
E02000139,2016,1,1250,1264.576945
E02000139,2016,2,1350,1365.743101
E02000139,2016,3,1200,1213.993867
E02000139,2016,4,1250,1264.576945
E02000140,2016,1,887.5,897.8496309
E02000141,2016,1,1325,1340.451562
E02000141,2016,2,1250,1264.576945
E02000141,2016,3,1250,1264.576945
E02000141,2016,4,1200,1213.993867
E02000142,2016,1,1250,1264.576945
E02000142,2016,2,1472.5,1489.671641
E02000142,2016,3,1275,1289.868484
E02000142,2016,4,1200,1213.993867
E02000144,2016,1,1250,1264.576945
E02000144,2016,2,1250,1264.576945
E02000144,2016,3,1425,1441.617717
E02000144,2016,4,1200,1213.993867
E02000145,2016,1,1050,1062.244634
E02000145,2016,2,1100,1112.827712
E02000145,2016,3,1125,1138.11925
E02000146,2016,1,1300,1315.160023
E02000146,2016,2,1275,1289.868484
E02000146,2016,3,1200,1213.993867
E02000146,2016,4,1200,1213.993867
E02000147,2016,1,1300,1315.160023
E02000147,2016,3,1250,1264.576945
E02000147,2016,4,1097.5,1110.298558
E02000148,2016,1,1250,1264.576945
E02000148,2016,2,1495,1512.434026
E02000148,2016,3,1500,1517.492334
E02000149,2016,1,1100,1112.827712
E02000149,2016,2,1195,1208.935559
E02000149,2016,3,1287.5,1302.514253
E02000151,2016,1,1800,1820.990801
E02000151,2016,2,2000,2023.323112
E02000151,2016,3,1475,1492.200795
E02000154,2016,1,1225,1239.285406
E02000154,2016,2,1150,1163.410789
E02000154,2016,3,1250,1264.576945
E02000154,2016,4,1150,1163.410789
E02000156,2016,2,1350,1365.743101
E02000157,2016,1,1347.5,1363.213947
E02000157,2016,4,1695,1714.766337
E02000161,2016,3,1375,1391.034639
E02000162,2016,3,1895,1917.098649
E02000163,2016,2,1450,1466.909256
E02000166,2016,1,1647,1666.206583
E02000166,2016,2,2356.5,2383.980457
E02000166,2016,3,1917.5,1939.861034
E02000166,2016,4,1517,1534.69058
E02000167,2016,1,2210,2235.772039
E02000167,2016,2,2708,2739.579494
E02000167,2016,3,2700,2731.486201
E02000167,2016,4,2817,2849.850603
E02000168,2016,1,1712,1731.964584
E02000168,2016,2,1712,1731.964584
E02000168,2016,3,1571,1589.320304
E02000168,2016,4,1560,1578.192027
E02000169,2016,1,2145,2170.014038
E02000169,2016,2,2150,2175.072345
E02000169,2016,3,2578,2608.063491
E02000169,2016,4,2340,2367.288041
E02000170,2016,1,1560,1578.192027
E02000170,2016,2,1690,1709.70803
E02000170,2016,3,1647,1666.206583
E02000170,2016,4,1842,1863.480586
E02000171,2016,1,1989,2012.194835
E02000171,2016,2,2029,2052.661297
E02000171,2016,3,1842,1863.480586
E02000171,2016,4,1842,1863.480586
E02000172,2016,1,2275,2301.53004
E02000172,2016,2,1733,1753.209476
E02000172,2016,3,1950,1972.740034
E02000172,2016,4,1603,1621.693474
E02000173,2016,1,2199.5,2225.149592
E02000173,2016,2,2167,2192.270592
E02000173,2016,3,2123,2147.757483
E02000173,2016,4,2058,2081.999482
E02000174,2016,1,2047.5,2071.377036
E02000174,2016,2,1852.5,1874.103032
E02000174,2016,3,1950,1972.740034
E02000174,2016,4,1690,1709.70803
E02000175,2016,1,1668,1687.451475
E02000175,2016,2,1625,1643.950028
E02000175,2016,3,1625,1643.950028
E02000175,2016,4,1647,1666.206583
E02000176,2016,1,1928,1950.48348
E02000176,2016,2,1765.5,1786.088477
E02000176,2016,3,1820,1841.224032
E02000176,2016,4,1831,1852.352309
E02000177,2016,1,1928,1950.48348
E02000177,2016,2,1885,1906.982033
E02000177,2016,3,1820,1841.224032
E02000177,2016,4,1821,1842.235693
E02000178,2016,1,1408,1424.419471
E02000178,2016,2,1636,1655.078306
E02000178,2016,3,1647,1666.206583
E02000178,2016,4,1560,1578.192027
E02000179,2016,1,2015,2038.498035
E02000179,2016,2,3012,3047.124607
E02000179,2016,3,2167,2192.270592
E02000179,2016,4,2080,2104.256036
E02000180,2016,1,1625,1643.950028
E02000180,2016,2,1831,1852.352309
E02000180,2016,3,2069,2093.127759
E02000180,2016,4,2600,2630.320046
E02000181,2016,1,1820,1841.224032
E02000181,2016,2,1777,1797.722585
E02000181,2016,3,1733,1753.209476
E02000181,2016,4,1733,1753.209476
E02000182,2016,1,1993,2016.241481
E02000182,2016,2,2318,2345.031487
E02000182,2016,3,2178.5,2203.9047
E02000182,2016,4,2145,2170.014038
E02000183,2016,1,2600,2630.320046
E02000183,2016,2,2275,2301.53004
E02000183,2016,3,2000,2023.323112
E02000183,2016,4,2318.5,2345.537318
E02000184,2016,1,1741.5,1761.8086
E02000184,2016,2,2206,2231.725392
E02000184,2016,3,1798,1818.967478
E02000184,2016,4,1517,1534.69058
E02000185,2016,1,1636,1655.078306
E02000185,2016,2,1820,1841.224032
E02000185,2016,3,1744,1764.337754
E02000185,2016,4,1646,1665.194921
E02000186,2016,1,2054,2077.952836
E02000186,2016,2,1842,1863.480586
E02000186,2016,3,2058,2081.999482
E02000186,2016,4,2383,2410.789488
E02000187,2016,1,1701,1720.836307
E02000187,2016,2,2470,2498.804043
E02000187,2016,3,2578,2608.063491
E02000187,2016,4,2015,2038.498035
E02000188,2016,1,2719,2750.707771
E02000188,2016,2,2600,2630.320046
E02000188,2016,3,2817,2849.850603
E02000188,2016,4,1842,1863.480586
E02000189,2016,1,1733,1753.209476
E02000189,2016,2,1842,1863.480586
E02000189,2016,3,2496,2525.107244
E02000189,2016,4,2167,2192.270592
E02000190,2016,1,1733,1753.209476
E02000190,2016,2,2058,2081.999482
E02000190,2016,3,1776.5,1797.216754
E02000190,2016,4,1722.5,1742.58703
E02000191,2016,1,2492,2521.060597
E02000191,2016,2,2080,2104.256036
E02000191,2016,3,2167,2192.270592
E02000191,2016,4,2166,2191.25893
E02000192,2016,1,2210,2235.772039
E02000192,2016,2,2361.5,2389.038764
E02000192,2016,3,1996.5,2019.782296
E02000192,2016,4,2221,2246.900316
E02000193,2016,1,2437.5,2465.925043
E02000193,2016,2,2383,2410.789488
E02000193,2016,3,2296.5,2323.280763
E02000193,2016,4,2015,2038.498035
E02000194,2016,1,1200,1213.993867
E02000194,2016,2,1245,1259.518637
E02000194,2016,3,1150,1163.410789
E02000194,2016,4,1050,1062.244634
E02000195,2016,1,1750,1770.407723
E02000195,2016,2,1300,1315.160023
E02000195,2016,3,1600,1618.65849
E02000195,2016,4,1250,1264.576945
E02000196,2016,1,1550,1568.075412
E02000196,2016,2,1420,1436.559409
E02000196,2016,3,1900,1922.156956
E02000196,2016,4,1000,1011.661556
E02000197,2016,1,1348,1363.719777
E02000197,2016,2,1450,1466.909256
E02000197,2016,3,1500,1517.492334
E02000197,2016,4,1275,1289.868484
E02000198,2016,1,1400,1416.326178
E02000198,2016,2,1250,1264.576945
E02000198,2016,3,1320,1335.393254
E02000198,2016,4,1395,1411.267871
E02000199,2016,1,1200,1213.993867
E02000199,2016,2,1099,1111.81605
E02000199,2016,3,1187.5,1201.348098
E02000199,2016,4,915,925.6703237
E02000200,2016,1,1100,1112.827712
E02000200,2016,2,1150,1163.410789
E02000200,2016,3,972.5,983.8408632
E02000200,2016,4,1012.5,1024.307325
E02000201,2016,1,812.5,821.9750142
E02000201,2016,2,900,910.4954004
E02000201,2016,3,1100,1112.827712
E02000201,2016,4,950,961.0784782
E02000202,2016,1,1447,1463.874271
E02000202,2016,2,1300,1315.160023
E02000202,2016,3,1400,1416.326178
E02000202,2016,4,1400,1416.326178
E02000203,2016,1,1067.5,1079.948711
E02000203,2016,2,1187.5,1201.348098
E02000203,2016,3,1012.5,1024.307325
E02000203,2016,4,1100,1112.827712
E02000204,2016,1,1475,1492.200795
E02000204,2016,2,1375,1391.034639
E02000204,2016,3,1250,1264.576945
E02000204,2016,4,1000,1011.661556
E02000206,2016,1,975,986.3700171
E02000206,2016,2,1162.5,1176.056559
E02000206,2016,3,1000,1011.661556
E02000206,2016,4,1000,1011.661556
E02000207,2016,1,1150,1163.410789
E02000207,2016,2,1175,1188.702328
E02000207,2016,3,1200,1213.993867
E02000207,2016,4,1162.5,1176.056559
E02000208,2016,1,1136.5,1149.753358
E02000208,2016,2,1025,1036.953095
E02000208,2016,3,1125,1138.11925
E02000208,2016,4,1250,1264.576945
E02000209,2016,1,1295,1310.101715
E02000209,2016,2,1400,1416.326178
E02000209,2016,3,1350,1365.743101
E02000209,2016,4,1450,1466.909256
E02000210,2016,1,1250,1264.576945
E02000210,2016,2,1250,1264.576945
E02000210,2016,3,1200,1213.993867
E02000210,2016,4,1300,1315.160023
E02000211,2016,1,825,834.6207837
E02000211,2016,3,1600,1618.65849
E02000212,2016,2,1275,1289.868484
E02000212,2016,3,1174,1187.690667
E02000212,2016,4,1300,1315.160023
E02000213,2016,1,1100,1112.827712
E02000213,2016,2,997,1008.626571
E02000213,2016,3,1000,1011.661556
E02000213,2016,4,1000,1011.661556
E02000214,2016,3,1600,1618.65849
E02000214,2016,4,1550,1568.075412
E02000215,2016,1,1000,1011.661556
E02000215,2016,2,997.5,1009.132402
E02000215,2016,3,1172.5,1186.173174
E02000215,2016,4,1150,1163.410789
E02000216,2016,1,1250,1264.576945
E02000216,2016,2,1250,1264.576945
E02000216,2016,3,1200,1213.993867
E02000216,2016,4,1200,1213.993867
E02000217,2016,1,1112.5,1125.473481
E02000217,2016,2,1137.5,1150.76502
E02000217,2016,3,1075,1087.536173
E02000217,2016,4,1100,1112.827712
E02000219,2016,1,1350,1365.743101
E02000219,2016,2,1400,1416.326178
E02000220,2016,1,1050,1062.244634
E02000220,2016,2,1050,1062.244634
E02000220,2016,3,1050,1062.244634
E02000220,2016,4,1050,1062.244634
E02000221,2016,1,1175,1188.702328
E02000221,2016,2,1200,1213.993867
E02000221,2016,3,1125,1138.11925
E02000221,2016,4,1100,1112.827712
E02000222,2016,1,1100,1112.827712
E02000222,2016,2,1125,1138.11925
E02000222,2016,3,1075,1087.536173
E02000222,2016,4,1100,1112.827712
E02000224,2016,1,1050,1062.244634
E02000224,2016,2,1095,1107.769404
E02000224,2016,3,950,961.0784782
E02000224,2016,4,1040,1052.128018
E02000227,2016,1,862.5,872.558092
E02000227,2016,2,850,859.9123226
E02000227,2016,3,1172.5,1186.173174
E02000227,2016,4,1222.5,1236.756252
E02000228,2016,3,1225,1239.285406
